Infinitive;Past Simple;Past Participle;Перевод;Заметки
arise;arose;arisen;возникать, происходить;
awake;awoke;awoken;будить, просыпаться, проснуться;
be;was, were;been;быть, являться, находиться;
bear;bore;born;нести, носить, терпеть, выносить;
beat;beat;beaten;бить, ударять, колотить;
become;became;become;стать, становиться;
begin;began;begun;начинать, начинаться;
bend;bent;bent;гнуть, сгибать, сгибаться, наклоняться;
bet;bet;bet;держать пари, биться об заклад;
bind;bound;bound;связывать, связать, привязывать;
bite;bit;bitten;кусать, кусаться, укусить;
bleed;bled;bled;кровоточить, истекать кровью;
blow;blew;blown;дуть, дунуть, взрывать;
break;broke;broken;ломать, разбивать;
bring;brought;brought;приносить, приводить;
broadcast;broadcast;broadcast;транслировать, вещать, передавать по радио или телевидению;Данный глагол может также использоваться как правильный (чаще в американском английском): broadcast, broadcasted, broadcasted. Неправильные формы broadcast, broadcast, broadcast являются более употребительными, чем правильные.
build;built;built;строить, построить, соорудить;
burn;burnt;burnt;сжигать, гореть, жечь, обжечь;Для британского английского характерны неправильные формы: burn, burnt, burnt. В американском английском данный глагол используется как правильный: burn, burned, burned.
burst;burst;burst;лопнуть, лопаться, взрываться;
buy;bought;bought;купить, покупать;
cast;cast;cast;бросать, отбрасывать, забрасывать;
catch;caught;caught;ловить, поймать;
choose;chose;chosen;выбирать;
cling;clung;clung;цепляться, льнуть, держаться;
come;came;come;приходить, приезжать, приехать, наступить;
cost;cost;cost;стоить;
creep;crept;crept;ползать, ползти, покрадываться;
cut;cut;cut;резать, отрезать, разрезать;
deal;dealt;dealt;иметь дело;
dig;dug;dug;копать, рыть, выкапывать;
do;did;done;делать, выполнять;
draw;drew;drawn;рисовать, чертить;
dream;dreamt;dreamt;мечтать, сниться, видеть во сне;Для британского английского характерны неправильные формы: dream, dreamt, dreamt. В американском английском данный глагол используется как правильный: dream, dreamed, dreamed.
drink;drank;drunk;пить;
drive;drove;driven;водить, управлять, ехать;
dwell;dwelt;dwelt;жить, обитать, останавливаться, пребывать;
eat;ate;eaten;есть, кушать, съедать;
fall;fell;fallen;падать, снижаться, опускаться;
feed;fed;fed;кормить, кормиться, питаться;
feel;felt;felt;чувствовать, почувствовать, ощущать, испытывать;
fight;fought;fought;бороться, сражаться, воевать, драться;
find;found;found;находить, найти;
fit;fit;fit;соответствовать, подходить, приспосабливать;В британском английском данный глагол используется как правильный: fit, fitted, fitted. Для американского английского характерны неправильные формы: fit, fit, fit. При этом в американском английском fit не используется как причастие прошедшего времени в пассивном залоге.
flee;fled;fled;бежать, спасаться бегством;
fling;flung;flung;бросать, швырять, бросаться, кидаться;
fly;flew;flown;летать, лететь, полететь;
forbid;forbade;forbidden;запрещать;
forecast;forecast;forecast;прогнозировать, предсказывать, предвидеть;
forget;forgot;forgotten;забывать;
forgive;forgave;forgiven;прощать;
freeze;froze;frozen;замерзать, замораживать;
get;got;got;получать, становиться, доставать, добираться;В американском английском в качестве III формы глагола почти всегда используется gotten. Использование gotten характерно для разговорной речи.
gild;gilt;gilt;золотить, покрывать позолотой или золотой краской;Этот глагол также используется и как правильный: gild, gilded, gilded.
give;gave;given;давать, отдавать;
go;went;gone;идти, ехать, ходить, ездить;
grow;grew;grown;расти, выращиваться, вырастать, отрастать;
hang;hung;hung;висеть, вешать;
have;had;had;иметь, обладать;
hear;heard;heard;слышать, услышать;
hide;hid;hidden;скрывать, прятать, прятаться, скрываться;
hit;hit;hit;бить, ударять, удариться;
hold;held;held;держать, удерживать;
hurt;hurt;hurt;повредить, ушибить, болеть, причинять боль;
keep;kept;kept;держать, хранить, сохранять;
kneel;knelt;knelt;стоять на коленях, становиться на колени;Для британского английского характерны неправильные формы: kneel, knelt, knelt. В американском английском данный глагол также используется как правильный: kneel, kneeled, kneeled.
knit;knit;knit;вязать, объединяться, связывать, соединять(ся), срастаться;Данный глагол чаще всего используется как правильный и в британском, и в американском вариантах английского языка: knit, knitted, knitted. Неправильная форма knit обычно употребляется в значениях соединять(ся), срастаться, сращиваться.
know;knew;known;знать, узнавать;
lay;laid;laid;лежать, положить, класть, накрывать;
lead;led;led;вести, приводить, руководить, возглавлять;
lean;leant;leant;опираться, наклоняться;В американском английском данный глагол используется как правильный: lean, leaned, leaned. Неправильные формы lean, leant, leant характерны для британского английского. В британском варианте этот глагол также может употребляться как правильный.
leap;leapt;leapt;скакать, прыгать, подскакивать, резко подскочить;Данный глагол также используется как правильный и в британском, и в американском вариантах английского языка: leap, leaped, leaped. Неправильные формы leap, leapt, leapt характерны в большей степени для британского английского.
learn;learnt;learnt;учиться, научиться, учить, разучивать;Для британского английского характерны неправильные формы: learn, learnt, learnt. В американском английском данный глагол используется как правильный: learn, learned, learned.
leave;left;left;оставлять, покидать, уходить, уезжать;
lend;lent;lent;предоставлять, одалживать, давать взаймы;
let;let;let;позволять, разрешать;
lie;lay;lain;лежать;
light;lit;lit;зажигать, светить;Данный глагол чаще всего используется как неправильный и в британском, и в американском вариантах английского языка: light, lit, lit. Но он также может употребляться и как правильный глагол: light, lighted, lighted, но значительно реже (обычно как причастие прошедшего времени перед существительным a lighted road, освещенная дорога).
lose;lost;lost;терять, проигрывать;
make;made;made;делать, производить, изготавливать;
mean;meant;meant;означать, значить, иметь в виду, подразумевать;
meet;met;met;встречать, встречаться, знакомиться;
mow;mowed;mown;косить, жать;
pay;paid;paid;платить, заплатить, оплачивать;
put;put;put;класть, положить, ставить, помещать;
quit;quit;quit;бросать, покидать, прекращать, увольняться;
read;read;read;читать;
ride;rode;ridden;кататься, ездить верхом;
ring;rang;rung;звонить, звенеть;
rise;rose;risen;подниматься, повышаться, возрастать, вставать;
run;ran;run;бежать, бегать, работать;
saw;sawed;sawn;пилить, распиливать;
say;said;said;сказать, говорить, произносить;
see;saw;seen;видеть, увидеть;
seek;sought;sought;искать, стремиться, добиваться;
sell;sold;sold;продавать, продаваться, торговать;
send;sent;sent;отправлять, посылать, присылать;
set;set;set;устанавливать, ставить;
sew;sewed;sewn;шить, пришивать, зашивать;
shake;shook;shaken;трясти, качать, раскачивать, трястись;
shine;shone;shone;сиять, светить, блестеть, светиться;
shoot;shot;shot;стрелять, расстрелять, застрелить;
show;showed;shown;показывать, демонстрировать;
shrink;shrank;shrunk;сокращаться, сжиматься, сокращать, давать усадку;
shut;shut;shut;закрывать, запирать, закрываться, запираться;
sing;sang;sung;петь, спеть;
sink;sank;sunk;тонуть, утонуть, погружаться, опускаться, потопить;
sit;sat;sat;сидеть, усаживать;
sleep;slept;slept;спать, засыпать;
slide;slid;slid;скользить;
sling;slung;slung;швырять;
smell;smelt;smelt;пахнуть, понюхать, чувствовать запах, нюхать;Для британского английского характерны неправильные формы: smell, smelt, smelt. В американском английском данный глагол используется как правильный: smell, smelled, smelled.
smite;smote;smitten;поражать, ударять, карать, поразить;В словарях данный глагол даётся с пометкой устаревший.
sow;sowed;sown;сеять, посеять, засеять, высеивать;
speak;spoke;spoken;говорить;
speed;sped;sped;ускорять, спешить, идти поспешно;
spell;spelt;spelt;произносить по буквам;Данный глагол также используется как правильный (преимущественно в американском английском): spell, spelled, spelled. Для британского английского более характерны неправильные формы: spell, spelt, spelt.
spend;spent;spent;тратить, проводить время;
spill;spilt;spilt;пролить, проливать, разливать;
spin;spun;spun;прясть, крутить, крутиться, кружиться, вертеться;Встречается также форма прошедшего времени (Past Simple) span. Данная форма является устаревшей как в британском, так и в американском вариантах английского языка. Иногда span можно встретить в современном британском английском, но очень редко.
spit;spat;spat;плевать, плеваться, плюнуть, сплюнуть, сплевывать;Для американского английского также характерны следующие неправильные формы: spit, spit, spit.
split;split;split;раскалывать, делить на части;
spoil;spoilt;spoilt;портить, портиться, баловать;В американском английском данный глагол используется как правильный: spoil, spoiled, spoiled. Для британского английского более характерны неправильные формы: spoil, spoilt, spoilt, хотя правильные формы также используются и в британском варианте английского языка.
spread;spread;spread;распространять, распространяться;
spring;sprang;sprung;прыгать, вскакивать, возникать;
stand;stood;stood;стоять, постоять;
steal;stole;stolen;красть, воровать;
stick;stuck;stuck;наклеивать, приклеивать, держаться, придерживаться;
sting;stung;stung;жалить, ужалить;
stink;stank;stunk;вонять, смердеть;
strike;struck;struck;бить, ударять, поражать, бастовать;
strive;strove;striven;бороться, стремиться, прилагать усилия;
swear;swore;sworn;клясться, поклясться, ругать, ругаться;
sweep;swept;swept;подметать, мести;
swell;swelled;swollen;разбухать, набухать, раздуваться, опухать;
swim;swam;swum;плавать, плыть;
swing;swung;swung;качать, качаться, махать, размахивать;
take;took;taken;брать, взять;
teach;taught;taught;обучать, преподавать;
tear;tore;torn;рвать, рваться, разрывать;
tell;told;told;сказать, рассказывать, говорить, сообщать;
think;thought;thought;думать, мыслить, считать, полагать;
throw;threw;thrown;бросать, кинуть, кидать, метать;
thrust;thrust;thrust;толкать, засовывать;
tread;trod;trodden;наступать, ступать, шагать, давить;
understand;understood;understood;понять, понимать;
wake;woke;woken;разбудить, просыпаться, будить;
wear;wore;worn;носить, одевать, быть одетым;
weave;wove;woven;ткать, плести, вплетать, сплетать;
weep;wept;wept;плакать, оплакивать, рыдать;
wet;wet;wet;смачивать, мочить, увлажнять;В британском английском данный глагол также используется как правильный: wet, wetted, wetted.
win;won;won;выиграть, победить;
wind;wound;wound;виться, мотать, наматывать;
wring;wrung;wrung;выжимать, скручивать, выкручивать;
write;wrote;written;писать, записывать, выписывать, сочинять;
