word;description
abandon;оставить
abandoned;Покинутый
abhorrent;отвратительный
ability;способность
able;способный
abroad;за границей
absolutely;безусловно
accessible;доступный
achieve;достигать
aching;жаждать. больной
activity;деятельность
actually;на самом деле
actuate;приводить в действие
addition;дополнение
adjusted;Улаживать спор. приводить в порядок
admirable;замечательный
admit;признавать. допускать
adverse;враждебный
advertising;рекламирование
aeroponics;аэропоники
afternoon;дневное время
age;возраст
agricultural;сельскохозяйственный
ahead;впереди
akin;Похожий
alarming;тревожный
allow;Позволять
aloud;вслух
already;уже
although;хотя. хотя, если бы даже несмотря на то что
amazed;изумленный
amend;вносить изменения
amount;значение. количество
ancient;древний
anger;злость
anglers;рыбак
annoying;Раздражающий
answer;ответ
anxiety;беспокойство
appeals;Обращение
appears;означать
appreciate;оценивать. быть признательным
approximately;приблизительно
arcane;тайны
armchair;кресло
armoire;шкаф
arrogance;высокомерие
ascending;по возрастанию
ashamed;пристыженный
assignment;назначение
astrologically;астрологически
astronomically;астрономически
attendant;сопровождающее, обслуживающее или присутствующее лицо
attenuation;Ослабление
audience;публика
aunt;тетя
autonomously;Самостоятельно
average;средний
avoid;избегать
backyard;задний двор
balanced;уравновешенный
balcony;балкон
banned;запрещенный
basically;в основном
be able to;быть в состоянии, мочь (вспомогательная форма-оборот глагола can)
bean;фасоль
beautiful;красивый
behave;поведение
behind;за. позади
belongs;принадлежать. быть частью. быть родом из
bill;счёт. законопроект
bimbo;Пустышка. фифа. красотка
bin;мусорное ведро
binding;скрепление
bindings;переплёты
bit;кусочек
blame;вина
blast;взрывать
blasted;чертов
blinds;жалюзи
blonde;блондинка
bloody;чертовски
body;тело
boy;мальчик
breach;нарушение
bread;хлеб
break;перерыв, перемена (в школе), перелом
breaking;поломка
brother;брат
bucket;ведро
bus;автобус
cafeteria;кафетерий
camping;кемпинг
canister;канистра
capable;способный
car;автомобиль
caress;ласка
carry;нести
cat;кошка
catch;поймать
cauldron;котёл
cereal;мюсли
certain;конкретный. Определённый, уверенный
character;персонаж
chase;охота
cheap;дешёвый
cheaper;более дешевый
child;ребёнок
church;церковь
city;город
clause;пункт
clime;край. взбираться
clubs;трефы (масть)
co-pilot;второй пилот
cockpit;кабина в самолёте
cold;холодный
collocation;словосочетание
colon;двоеточие
comma;запятая
common;общий
commonalities;унифицированность
comparison;сравнение
complexity;сложность
compute;рассчитывать
conceal;скрывать
conceive;задумывать
condition;условие
Conditional statements;условные операторы, операторы ветвления
confused;смущённый
confusing;сбивающий с толку
