word;qt;description
know;30;vocabulary
just;23;vocabulary
okay;23;vocabulary
get;21;vocabulary
out;19;vocabulary
can;18;vocabulary
there;16;vocabulary
like;16;vocabulary
yeah;13;vocabulary
right;13;vocabulary
guy;11;vocabulary
well;11;vocabulary
god;10;vocabulary
think;10;vocabulary
one;9;vocabulary
say;9;vocabulary
good;9;vocabulary
gonna;9;vocabulary
come;8;vocabulary
something;8;vocabulary
date;8;vocabulary
really;8;vocabulary
see;8;vocabulary
hey;8;vocabulary
about;8;vocabulary
maybe;8;vocabulary
wait;7;vocabulary
want;7;vocabulary
everybody;7;vocabulary
back;7;vocabulary
look;7;vocabulary
wanna;7;vocabulary
mean;7;vocabulary
morning;7;vocabulary
sorry;6;vocabulary
wine;6;vocabulary
cut;6;vocabulary
woman;6;vocabulary
would;6;vocabulary
tell;5;vocabulary
some;5;vocabulary
work;5;vocabulary
going;5;vocabulary
him;5;vocabulary
through;5;vocabulary
down;5;vocabulary
feel;5;vocabulary
coffee;5;vocabulary
thank;5;vocabulary
chandler;5;new
anyway;5;vocabulary
only;5;vocabulary
life;5;vocabulary
shoe;5;vocabulary
real;5;vocabulary
night;5;vocabulary
gotta;4;vocabulary
go;4;vocabulary
two;4;vocabulary
never;4;vocabulary
very;4;vocabulary
today;4;vocabulary
let;4;vocabulary
stop;4;vocabulary
now;4;vocabulary
again;4;vocabulary
more;4;vocabulary
always;4;vocabulary
doing;4;vocabulary
daddy;4;vocabulary
need;4;vocabulary
probably;4;vocabulary
thing;4;vocabulary
guys;4;vocabulary
ask;4;vocabulary
watch;4;vocabulary
welcome;4;vocabulary
spoon;4;vocabulary
take;4;vocabulary
make;4;vocabulary
boy;4;vocabulary
believe;4;vocabulary
find;4;vocabulary
nothing;3;vocabulary
even;3;vocabulary
high;3;vocabulary
phoebe;3;new
grabbed;3;vocabulary
thanks;3;vocabulary
leave;3;vocabulary
wish;3;vocabulary
married;3;vocabulary
might;3;vocabulary
remember;3;vocabulary
brother;3;vocabulary
sure;3;vocabulary
four;3;vocabulary
before;3;vocabulary
wedding;3;vocabulary
looking;3;vocabulary
gravy;3;vocabulary
boat;3;vocabulary
much;3;vocabulary
kind;3;vocabulary
buy;3;vocabulary
love;3;vocabulary
push;3;vocabulary
stairs;3;vocabulary
hat;3;vocabulary
stay;3;vocabulary
try;3;vocabulary
things;3;vocabulary
anything;3;vocabulary
live;3;vocabulary
day;3;vocabulary
catch;3;vocabulary
tonight;3;vocabulary
time;3;vocabulary
talk;3;vocabulary
being;3;vocabulary
actually;3;vocabulary
be;3;vocabulary
long;3;vocabulary
off;3;vocabulary
ever;3;vocabulary
since;3;vocabulary
fifth;3;vocabulary
wow;3;vocabulary
job;3;vocabulary
anybody;3;vocabulary
boots;3;vocabulary
sex;2;vocabulary
school;2;vocabulary
realize;2;vocabulary
dream;2;vocabulary
phone;2;vocabulary
sudden;2;vocabulary
hello;2;vocabulary
pulled;2;vocabulary
mouth;2;vocabulary
cookie;2;vocabulary
carol;2;vocabulary
stuff;2;vocabulary
aura;2;vocabulary
alone;2;vocabulary
fine;2;vocabulary
happy;2;vocabulary
hell;2;vocabulary
lesbian;2;vocabulary
everyone;2;vocabulary
lot;2;vocabulary
answer;2;vocabulary
single;2;vocabulary
started;2;vocabulary
city;2;vocabulary
big;2;vocabulary
listen;2;vocabulary
trouble;2;vocabulary
guess;2;vocabulary
nice;2;vocabulary
best;2;vocabulary
please;2;vocabulary
supposed;2;vocabulary
aruba;2;new
honeymoon;2;vocabulary
getting;2;vocabulary
although;2;vocabulary
furniture;2;new
could;2;vocabulary
bracket;2;new
little;2;vocabulary
worm;2;vocabulary
such;2;vocabulary
break;2;vocabulary
cream;2;vocabulary
happened;2;vocabulary
world;2;vocabulary
grab;2;vocabulary
hungry;2;vocabulary
years;2;vocabulary
difference;2;vocabulary
amazing;2;vocabulary
great;2;vocabulary
put;2;vocabulary
kids;2;vocabulary
jobs;2;vocabulary
will;2;vocabulary
wooden;2;vocabulary
sleep;2;vocabulary
kidding;2;vocabulary
credit;2;vocabulary
line;2;vocabulary
give;2;vocabulary
new;2;vocabulary
parents;2;vocabulary
first;2;vocabulary
killed;2;vocabulary
sometime;2;vocabulary
